Packet;Channel 1;Channel 2;Channel 3;Channel 4;Channel 5;Channel 6
786753;-319503697,06666666;-317182293,3333333;-9236821,333333334;861798,4;22882193,066666666;28233459,2
786754;-5417787,733333333;-3233454,933333333;-9234389,333333334;829614,9333333333;22848247,466666665;75752533,33333333
786755;287908770,1333333;279941580,8;-9249651,2;835925,3333333334;22867754,666666668;31225297,066666666
786756;-448979067,73333335;-442198933,3333333;-9233143,466666667;852778,6666666666;22856733,866666667;72496755,2
786757;320029563,73333335;315683660,8;-9207581,866666667;853337,6;22876339,2;34719232
786758;-51680452,266666666;-54750408,53333333;-9271650,133333333;832503,4666666667;22848874,666666668;68747822,93333334
786759;-284888657,06666666;-278690709,3333333;-9236569,6;855355,7333333333;22865809,066666666;38709230,93333333
786760;423050026,6666667;414583082,6666667;-9241416,533333333;845371,7333333333;22866875,733333334;64590468,266666666
786761;-364174830,93333334;-360775552;-9243097,6;858363,7333333333;22864780,8;43006442,666666664
786762;62656541,86666667;63611596,8;-9239458,133333333;829589,3333333334;22850461,866666667;60173956,266666666
786763;234513629,86666667;227142242,13333333;-9249152;844979,2;22862574,933333334;47550340,266666666
786764;-440057557,3333333;-432983428,26666665;-9247240,533333333;858333,8666666667;22836497,066666666;55571929,6
786765;360554389,3333333;355138803,2;-9250653,866666667;853862,4;22860305,066666666;52205512,53333333
786766;-118996428,8;-120860450,13333334;-9276983,466666667;855061,3333333334;22856059,733333334;50884612,266666666
786767;-228393966,93333334;-222879552;-9238809,6;860505,6;22868445,866666667;56869341,86666667
786768;408883426,1333333;400209587,2;-9254173,866666667;839223,4666666667;22851571,2;46254259,2
786769;-400295001,6;-395889126,4;-9246801,066666666;866436,2666666667;22878203,733333334;61474235,733333334
786770;128930935,46666667;128652360,53333333;-9226252,8;867660,8;22861610,666666668;41766553,6
786771;175155063,46666667;168524497,06666666;-9275660,8;842542,9333333333;22851993,6;65826747,733333334
786772;-420714730,6666667;-413511534,93333334;-9244748,8;839974,4;22836795,733333334;37548462,93333333
786773;392004270,93333334;385658820,26666665;-9263470,933333334;831496,5333333333;22823948,8;69844339,2
786774;-183711048,53333333;-184325533,86666667;-9249664;859784,5333333333;22843323,733333334;33716825,6
786775;-166636445,86666667;-161961309,86666667;-9246301,866666667;845632;22833160,533333335;73463889,06666666
786776;384459626,6666667;375757277,8666667;-9242752;869094,4;22859886,933333334;30322602,666666668
786777;-426993220,26666665;-421698359,46666664;-9245427,2;859046,4;22866803,2;76615168
786778;191713557,33333334;190198583,46666667;-9245806,933333334;847133,8666666667;22839389,866666667;27500859,733333334
786779;111224230,4;105520298,66666667;-9247974,4;868497,0666666667;22865745,066666666;79147259,73333333
786780;-391390980,26666665;-384253700,26666665;-9237683,2;866931,2;22861529,6;25266551,466666665
786781;413680844,8;406516966,4;-9244544;865143,4666666667;22860194,133333333;81020206,93333334
786782;-244223773,86666667;-243590600,53333333;-9237585,066666666;868569,6;22865011,2;23702203,733333334
786783;-101029435,73333333;-97331980,8;-9243345,066666666;846702,9333333333;22854894,933333334;82233638,4
786784;350483298,1333333;341934310,4;-9249399,466666667;847274,6666666666;22861243,733333334;22857723,733333334
786785;-443560320;-437535876,26666665;-9246574,933333334;845593,6;22864917,333333332;82759965,86666666
786786;249603980,8;246853546,66666666;-9248721,066666666;846165,3333333334;22840627,2;22727923,2
786787;44322018,13333333;39630754,13333333;-9273267,2;850103,4666666667;22849425,066666666;82498150,4
