IsEnabled1;Value11;Value12;Value13;IsEnabled2;Value21;Value22
False;3;3;44;True;334;5
False;2;4;225;False;1421;4
False;6;5;405;True;514;3
False;4;5;355;False;524;4
False;5;2;376;False;66;7
True;5;3;55;False;443;7
True;2;7;147;True;846;4
False;1;6;27;False;2042;1
False;6;5;435;True;704;1
True;1;3;2;False;1590;2
False;6;7;371;True;1470;0
True;0;3;6;False;717;6
True;6;3;142;False;16;7
False;2;6;71;True;747;6
True;6;1;383;True;390;2
False;0;6;413;False;1759;1
False;4;1;373;True;1014;3
False;7;1;429;True;1707;1
False;1;1;226;False;1577;2
False;0;0;295;True;1121;1
True;2;7;73;False;493;1
True;2;2;234;False;2011;4
True;0;4;327;True;865;7
True;1;7;79;True;904;2
False;3;5;185;False;69;4
False;0;1;319;True;465;3
False;5;7;309;False;792;2
False;3;0;408;True;1277;0
True;0;7;356;True;1390;2
False;4;4;110;False;677;2
True;4;5;353;True;536;1
False;6;6;302;False;1744;6
True;2;6;207;True;34;0
True;7;5;510;True;1131;6
False;4;4;293;True;1782;2
False;0;7;501;True;630;7
True;4;4;54;False;760;1
True;1;1;439;True;892;3
True;5;7;26;True;1706;2
False;7;2;342;False;364;7
False;4;7;58;False;942;0
False;4;4;372;False;1047;3
False;5;0;311;False;317;7
False;7;3;184;False;99;0
False;2;5;307;False;943;0
False;1;4;24;True;1348;5
True;1;4;92;False;249;0
True;5;0;401;False;1340;1
True;1;5;275;True;348;1
False;3;1;385;True;73;5
True;2;5;219;False;1480;2
False;0;6;70;True;889;5
True;3;1;350;True;1452;0
True;0;4;319;False;1464;5
True;6;0;104;True;1160;2
True;0;1;322;False;371;0
False;1;0;194;False;1478;4
True;4;6;325;False;1658;0
False;1;0;170;False;455;0
True;4;1;57;True;1648;3
True;0;4;257;True;1698;4
True;7;6;251;True;1616;3
False;0;7;478;True;1573;6
True;1;1;109;True;950;6
False;5;5;160;False;1053;1
True;7;0;365;False;649;1
False;6;4;310;False;682;6
True;6;5;143;False;932;0
False;6;1;290;True;1012;3
True;6;2;177;True;682;2
False;3;1;359;False;999;0
True;2;0;446;True;121;0
False;1;2;186;False;924;6
True;1;6;179;True;87;3
True;3;0;236;True;179;1
True;6;2;509;False;368;5
False;5;1;219;True;568;5
True;1;0;143;True;766;7
True;7;1;284;False;2009;1
False;2;1;457;False;1691;5
True;6;4;226;True;216;3
False;7;6;420;True;1499;0
False;1;3;428;True;1851;6
False;5;5;267;True;191;5
False;1;7;186;True;119;7
